author_display,title_display
United States. Congress. House. Committee on Public Works.,"Highlights of the Public Works and Economic Development Act of 1965 Public law 89-136, together with an explanation of how it works, a section-by-section summary of major provisions, and legislative history : Committee on Public Works, House of Representatives, 89th Congress, 1st session"
United States. Congress. House. Committee on Rules. Task Force on the Budget Process.,"Department press agents : hearing under H.R. 545 [authorizing appointment of committee to inquire into expenditure of public moneys for press bureaus, postage, stationery, etc., by Department of Agriculture and other Departments], May 21, 1912"
United States. Congress. House. Committee on Rules.,"Amendment to Constitution Relating to Election of President, etc. : hearing, 71st Congress, 3rd session, on H.J. Res. 292, Feb. 5, 1931"
United States. Congress. House. Committee on Rules.,"Price-fixing bill : hearing, 71st Congress, 2d session, on H.R. 11 [to protect trade-mark owners, distributors, and the public against injurious and uneconomic practices in distribution of articles of standard quality under distinguishing trade-mark, brand, or name], May 21, 1930"
United States. Congress. House. Committee on Rules.,"Commission to study and report on conservation and administration of public domain . hearings, 71st Congress, 2d session, on H.R. 6153, authorizing the President to appoint commission to study and report on conservation and administration of public domain, Jan. 15, 1930"
United States. Congress. House. Committee on Rules.,"To investigate public utility corporations, excepting railroads : hearing, 72d Congress, 1st session, on H.R. 59, Jan. 16, 1932"
United States. Congress. House. Committee on Rules.,"To amend the Railway labor act approved May 20, 1926. hearing, 73d Congress, 2d session, on H.R. 9861 [to amend railway labor act apporved May 20, 1926, and to provide for prompt disposition of disputes between carriers and their employees], June 12 and 13, 1934"
United States. Congress. House. Committee on Rules.,"Relief for farmers of Western States, [and] Relief for central and eastern Europe (H. Res. 454) : hearings"
United States. Congress. Senate. Committee on Public Works.,"Proposed modification to the authorized Oakley Reservoir project, Sangamon River, Illinois. Report to the Committee on Public Works, United States Senate, December 1970"
United States. Congress. House. Committee on Rules.,"Hearings on H.C.R. 44, to provide joint rule of 2 Houses in consideration of revenue measures, Jan. 7, 1911"
United States. Congress. Senate. Committee on Public Works.,"Watershed work plan for Tallaseehatchie Creek watershed, Clay and Talladega Counties, Alabama; report"
United States. Congress. House. Committee on Rules.,"Reorganization of administrative branches of Government : hearings, 69th Congress, 1st session, on H.R. 4770, to provide for reorganization of administrative branches of Government, to create Reorganization Board, and for other purposes, Jan. 15, 1926"
United States. Congress. House. Committee on Rules.,"Disapproval of President's reorganization plan : hearing before the Committee on Rules, House of Representatives, Seventy-second Congress, second session, on H. Res. 350. January 13, 1933"
United States. Congress. House. Committee on Rules.,"Retirement of disabled emergency officers : hearings, 69th Congress, 1st session, on H.R. 4548 [making eligible for retirement under certain conditions officers and former officers of World War, other than officers of Regular Army, who incurred physical disability in line of duty while in service of United States during World War, May 4 and June 22, 1926.."
United States. Congress. House. Committee on Rules.,"Certain public works on rivers and harbors : hearing before the Committee on Rules, House of Representatives, Sixty-ninth Congress, first session, on rule for H.R. 11176, a bill authorizing the construction, repair, and preservation of certain public works on rivers and harbors, and for other purposes, April 27, 1926"
United States. Congress. House. Committee on Rules.,"Amendments to rules of House of Representatives : hearing, 72d Congress, 1st session, on H. Res. 31, 47, and 93, Jan. 14 and 16, 1932"
United States. Congress. House. Committee on Rules.,"Title to lands granted by the United States in aid of schools. Hearings before the Committee on rules, House of representatives, Sixty-ninth Congress, second session, on S. 564, an act confirming in states and territories title to lands granted by the United States in aid of common or public schools. December 17, 1926"
United States. Congress. House. Committee on Rules.,"Rule making in order consideration of S. 3317 : hearings on H. Res. 438 [for consideration of S. 3317, to prohibit and punish certain seditious acts against Government of United States, and to prohibit use of mails for purpose of promoting such acts]."
United States. Congress. House. Committee on Rules.,"Seed loan bill : hearings, 70th Congress, 2d session, on S.J. Res. 182 [for relief of farmers in storm and flood stricken areas of southeastern United States], Feb. 8, 1929"
United States. Congress. House. Committee on Rules.,"Investigation of shipping trust : hearings on H.J.R. 72, for investigation of so-called shipping trust, Dec. 18, 1911 [and Jan. 15, 1912]."
United States. Congress. House. Committee on Rules.,"To create a select committee to investigate the United States Shipping Board : hearing before the Committee on Rules, House of Representatives, Seventy-first Congress, second session, on H. Res. 240, June 14, 1930"
United States. Congress. House. Committee on Rules.,"Regulate manufacture and sale of stamped envelopes : hearings, 72d Congress, 1st session, on H.R. 8576, May 23 and 24, 1932"
United States. Congress. House. Committee on Rules.,"Transoceanic merchant airship bill : hearings, 72d Congress, 1st session, on H. Res. 224 and H.R. 8681, May 19 and 24, 1932"
United States. Congress. House. Committee on Rules.,"War Minerals Relief : hearings, 69th Congress, 2d session, on S. 3641, to amend act to provide relief in cases of contracts connected with prosecution of the war, as amended, Feb. 21, 1927"
United States. Congress. House. Committee on Rules.,"Temporary relief for water users on irrigation projects constructed and operated Under the Reclamation Law : hearing, 72d Congress, 1st session, on H. Res. 152 and H. Res. 9489, Feb. 23, 1932"
United States. Congress. House. Committee on Rules.,"Hearings on H.R. No. 179, authorizing the Committee on Labor To investigate Conditions Existing in the Westmoreland Coal Fields of Pennsylvania : hearings before the United States House Committee on Rules, Sixty-Second Congress, first session, on May 31, 1911"
United States. Congress. House. Committee on Rules.,"For continuation of Special Committee to Investigate Un-American Activities : hearing, 77th Congress, 2d session, on H. Res. 420, Feb. 10 and 11, 1942"
United States. Congress. House. Committee on Rlules.,"Investigate veterans' affairs : hearing, 73d Congress, 2d session, on H. Res. 409 [for appointment of committee to investigate methods and manner of handling of funds and financial affairs of veterans receiving money as compensation or pensions from government while under guardianship and subject to supervision of Veterans' Administration], May 29, 1934"
United States. Congress. House. Committee on Rules.,Appointment of committee for investigation of Federal Board for Vocational Education : hearings on H.J. Res. 124
United States. Congress. Senate. Committee on Public Works.,"Regional wastewater management systems for the Chicago metropolitan area, summary report ... 1972"
United States. Congress. House. Committee on Rules.,"Rule for H.R. 12466, granting certain irrigation easements in Yellowstone National Park : hearings on H. Res. 527"
United States. Congress. Senate. Committee on Rules and Administration. Subcommittee on Rules.,"To include all general appropriation bills in one consolidated general appropriation bill : hearings before a Subcommittee of the Committee on Rules and Administration, United States Senate, Eightieth Congress, first session, on S. Con. Res. 6, a concurrent resolution to include all general appropriation bills in one consolidated general appropriation bill, March 24, May 1, and June 24, 1947"
